101,2023-2-Feb,750.00,5 2 6 2 7 1,Approved
102,2023-2-Feb,375.00,13 1 15 2 15 2 1 1,Approved
103,2023-2-Feb,700.00,3 4 1 1 11 1 15 2,Approved
104,2023-3-Feb,550.00,15 5 13 2,Canceled
105,2023-3-Feb,775.00,6 3 7 2 1 2,Approved
106,2023-3-Feb,550.00,9 1 12 1 15 2,Canceled
107,2023-3-Feb,950.00,8 2 12 2 15 3 1 2,Approved
108,2023-4-Feb,350.00,13 2 14 2,Approved
109,2023-4-Feb,825.00,9 2 10 5 15 3 1 2,Approved
110,2023-4-Feb,1200.00,6 4 13 2 15 4,Approved
111,2023-4-Feb,1050.00,13 2 14 2 6 3 3 1 1 2,Approved
112,2023-4-Feb,775.00,6 3 7 2 1 2,Canceled
113,2023-5-Feb,700.00,3 4 1 1 11 1 15 2,Approved
114,2023-5-Feb,550.00,15 5 13 2,Canceled
115,2023-5-Feb,825.00,9 2 10 5 15 3 1 2,Approved
